Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,951.469971,957.770020,947.010010,956.700012,956.700012,0
2009-08-04,953.070007,965.239990,952.340027,960.650024,960.650024,0
2009-08-05,961.840027,963.489990,946.599976,955.239990,955.239990,0
2009-08-06,955.229980,961.330017,940.880005,943.570007,943.570007,0
2009-08-07,955.219971,959.479980,945.530029,951.530029,951.530029,0
2009-08-10,947.119995,953.880005,939.409973,945.520020,945.520020,0
2009-08-11,942.349976,946.820007,932.460022,936.450012,936.450012,0
2009-08-12,937.989990,965.099976,937.539978,957.280029,957.280029,0
2009-08-13,962.409973,968.590027,950.640015,968.349976,968.349976,0
2009-08-14,964.909973,965.440002,947.380005,955.700012,955.700012,0
2009-08-17,938.280029,938.679993,925.099976,926.840027,926.840027,0
2009-08-18,930.479980,944.719971,930.330017,943.400024,943.400024,0
2009-08-19,930.419983,951.039978,928.750000,947.989990,947.989990,0
2009-08-20,946.140015,957.109985,944.739990,955.799988,955.799988,0
2009-08-21,958.049988,969.140015,952.780029,968.700012,968.700012,0
2009-08-24,970.429993,975.440002,958.219971,961.239990,961.239990,0
2009-08-25,965.390015,969.890015,959.150024,962.710022,962.710022,0
2009-08-26,963.140015,970.289978,958.780029,965.659973,965.659973,0
2009-08-27,965.190002,974.059998,951.299988,973.190002,973.190002,0
2009-08-28,989.409973,1000.179993,973.270020,980.799988,980.799988,0
2009-08-31,972.820007,973.440002,962.219971,966.859985,966.859985,0
2009-09-01,964.679993,983.419983,943.710022,946.109985,946.109985,0
2009-09-02,942.080017,952.750000,940.369995,944.349976,944.349976,0
2009-09-03,949.039978,954.270020,939.900024,953.690002,953.690002,0
2009-09-04,956.219971,977.369995,954.669983,976.929993,976.929993,0
2009-09-08,985.390015,992.710022,981.299988,992.549988,992.549988,0
2009-09-09,992.359985,1007.210022,987.369995,1005.369995,1005.369995,0
2009-09-10,1004.580017,1021.849976,1002.710022,1021.409973,1021.409973,0
2009-09-11,1019.400024,1023.690002,1010.799988,1017.710022,1017.710022,0
2009-09-14,1011.799988,1020.140015,1011.780029,1020.030029,1020.030029,0
2009-09-15,1018.989990,1028.170044,1018.409973,1026.630005,1026.630005,0
2009-09-16,1026.619995,1033.920044,1021.950012,1033.920044,1033.920044,0
2009-09-17,1030.630005,1034.689941,1018.880005,1023.030029,1023.030029,0
2009-09-18,1026.869995,1031.250000,1018.700012,1026.520020,1026.520020,0
2009-09-21,1020.609985,1032.699951,1018.890015,1028.560059,1028.560059,0
2009-09-22,1034.390015,1036.130005,1029.140015,1032.790039,1032.790039,0
2009-09-23,1039.849976,1052.079956,1032.670044,1033.170044,1033.170044,0
2009-09-24,1038.780029,1039.119995,1013.590027,1019.669983,1019.669983,0
2009-09-25,1011.919983,1019.530029,1006.989990,1010.530029,1010.530029,0
2009-09-28,1017.140015,1038.239990,1016.580017,1031.520020,1031.520020,0
2009-09-29,1031.390015,1037.270020,1019.469971,1022.440002,1022.440002,0
2009-09-30,1026.859985,1039.290039,1009.979980,1030.180054,1030.180054,0
2009-10-01,1025.829956,1026.650024,993.109985,993.109985,993.109985,0
2009-10-02,982.200012,999.669983,982.200012,988.640015,988.640015,0
2009-10-05,994.270020,1006.549988,987.820007,1002.500000,1002.500000,0
2009-10-06,1008.729980,1025.819946,1008.419983,1022.710022,1022.710022,0
2009-10-07,1018.929993,1023.280029,1015.239990,1022.130005,1022.130005,0
2009-10-08,1027.699951,1032.500000,1017.710022,1027.270020,1027.270020,0
2009-10-09,1023.059998,1044.050049,1022.849976,1043.209961,1043.209961,0
2009-10-12,1046.880005,1057.089966,1041.910034,1048.800049,1048.800049,0
2009-10-13,1049.869995,1057.300049,1046.099976,1051.699951,1051.699951,0
2009-10-14,1068.520020,1069.969971,1058.979980,1064.689941,1064.689941,0
2009-10-15,1059.660034,1060.239990,1052.000000,1059.060059,1059.060059,0
2009-10-16,1054.310059,1054.359985,1037.199951,1048.040039,1048.040039,0
2009-10-19,1051.390015,1063.829956,1044.500000,1062.500000,1062.500000,0
2009-10-20,1063.119995,1065.630005,1049.650024,1057.569946,1057.569946,0
2009-10-21,1056.839966,1071.089966,1048.630005,1050.380005,1050.380005,0
